Step,True_Temperature,Raw_Temperature,Error_Type,Filtered_Temperature,Fan_Before,Fan_After
1,25.45,25.34,noise,25.34,OFF,OFF
2,25.42,25.42,normal,25.38,OFF,OFF
3,25.79,22.53,spike,24.43,OFF,OFF
4,26.25,30.45,spike,26.13,ON,ON
5,26.25,26.25,normal,26.41,ON,ON
6,26.55,27.95,noise,28.22,ON,ON
7,26.82,26.82,normal,27.01,ON,ON
8,26.92,26.92,normal,27.23,ON,ON
9,27.02,27.02,normal,26.92,ON,ON
10,26.89,26.89,normal,26.94,ON,ON
11,27.29,27.29,normal,27.07,ON,ON
12,27.27,27.27,normal,27.15,ON,ON
13,27.26,27.26,normal,27.27,ON,ON
14,27.24,27.24,normal,27.26,ON,ON
15,27.07,27.13,noise,27.21,ON,ON
16,27.0,28.03,noise,27.47,ON,ON
17,27.02,27.02,normal,27.39,ON,ON
18,26.77,26.77,normal,27.27,ON,ON
19,26.6,26.6,normal,26.8,ON,ON
20,26.13,24.95,noise,26.11,ON,ON
21,26.14,26.14,normal,25.9,ON,ON
22,25.94,,missing,25.55,ON,ON
23,25.57,29.67,spike,27.91,ON,ON
24,25.15,24.98,noise,27.33,ON,ON
25,25.07,25.07,normal,26.57,ON,ON
26,24.96,24.96,normal,25.0,ON,ON
27,24.3,24.3,normal,24.78,ON,ON
28,24.24,24.24,normal,24.5,ON,ON
29,24.03,24.03,normal,24.19,ON,ON
30,23.86,23.86,normal,24.04,OFF,ON
31,23.44,23.44,normal,23.78,OFF,OFF
32,23.42,23.33,noise,23.54,OFF,OFF
33,23.06,23.03,noise,23.27,OFF,OFF
34,23.1,23.1,normal,23.15,OFF,OFF
35,22.93,,missing,23.07,OFF,OFF
36,22.66,,missing,23.1,OFF,OFF
37,22.85,,missing,,OFF,OFF
38,22.89,22.89,normal,22.89,OFF,OFF
39,22.74,22.74,normal,22.81,OFF,OFF
40,22.69,22.69,normal,22.77,OFF,OFF
41,23.07,23.07,normal,22.83,OFF,OFF
42,22.97,22.97,normal,22.91,OFF,OFF
43,23.39,22.51,noise,22.85,OFF,OFF
44,23.47,23.41,noise,22.96,OFF,OFF
45,23.56,23.56,normal,23.16,OFF,OFF
46,24.03,24.03,normal,23.67,OFF,OFF
47,24.25,19.7,spike,22.43,OFF,OFF
48,24.32,24.32,normal,22.68,OFF,OFF
49,24.51,25.6,noise,23.21,OFF,OFF
50,24.76,23.78,noise,24.57,OFF,OFF
51,25.27,25.27,normal,24.88,OFF,OFF
52,25.33,25.33,normal,24.79,OFF,OFF
53,25.64,,missing,25.3,OFF,OFF
54,25.8,25.59,noise,25.46,OFF,OFF
55,26.32,26.32,normal,25.95,ON,OFF
56,26.48,26.48,normal,26.13,ON,ON
57,26.79,26.79,normal,26.53,ON,ON
58,26.7,26.7,normal,26.66,ON,ON
59,26.91,25.99,noise,26.49,ON,ON
60,26.97,27.49,noise,26.73,ON,ON
61,27.24,27.24,normal,26.91,ON,ON
62,27.11,27.11,normal,27.28,ON,ON
63,27.07,28.33,noise,27.56,ON,ON
64,27.08,25.72,noise,27.05,ON,ON
65,27.2,27.2,normal,27.08,ON,ON
66,26.95,28.44,noise,27.12,ON,ON
67,26.89,26.89,normal,27.51,ON,ON
68,26.65,26.65,normal,27.33,ON,ON
69,26.66,26.66,normal,26.73,ON,ON
70,26.29,24.98,noise,26.1,ON,ON
71,26.0,26.0,normal,25.88,ON,ON
72,25.85,25.85,normal,25.61,ON,ON
73,25.69,29.87,spike,27.24,ON,ON
74,25.33,25.33,normal,27.02,ON,ON
75,25.01,25.01,normal,26.74,ON,ON
76,24.92,24.92,normal,25.09,ON,ON
77,24.42,24.42,normal,24.78,ON,ON
78,24.4,25.01,noise,24.78,ON,ON
79,23.88,22.7,noise,24.04,OFF,ON
80,23.81,23.81,normal,23.84,OFF,OFF
