Error_Type,Injection_Rate,Average_Raw_Error,Average_Filtered_Error,Fan_Switch_Before,Fan_Switch_After,Injected_Error_Count
noise,10,0.115,0.248,4,4,11
noise,20,0.162,0.277,4,4,17
noise,30,0.164,0.238,4,4,22
noise,40,0.331,0.306,4,4,31
noise,50,0.299,0.262,4,3,36
noise,60,0.404,0.334,4,3,43
missing,10,0.0,0.187,4,3,9
missing,20,0.0,0.185,4,3,17
missing,30,0.0,0.182,4,4,18
missing,40,0.0,0.177,4,3,30
missing,50,0.0,0.178,4,4,36
missing,60,0.0,0.189,4,4,41
spike,10,0.482,0.621,12,3,9
spike,20,0.659,0.689,14,3,13
spike,30,1.068,1.018,15,6,22
spike,40,1.795,1.403,19,9,37
spike,50,1.526,1.293,27,6,32
spike,60,2.378,1.472,26,12,47
